# Time Tags
# 2025-04-30 15:19:24
# Unit Time Tag: 1.000ps
# Unit Channel: 1
# Time Tag ; Channel
    1595734340783547 ;                    1
    1595734377670221 ;                    2
    1595734431567313 ;                    1
    1595734472231841 ;                    3
    1595734490134923 ;                    2
    1595734592555190 ;                    1
    1595734601931467 ;                    2
    1595734903394049 ;                    2
    1595735010603722 ;                    1
    1595735210693718 ;                    4
    1595735670201170 ;                    4
    1595735672211596 ;                    3
    1595736100004923 ;                    2
    1595736183364604 ;                    4
    1595736982683486 ;                    3
    1595737100643511 ;                    1
    1595737492420092 ;                    4
    1595737670562422 ;                    1
    1595737741951433 ;                    1
    1595737905833480 ;                    1
    1595737984613585 ;                    2
    1595738029499362 ;                    2
    1595738090576923 ;                    1
    1595738144513747 ;                    1
    1595738146896025 ;                    2
    1595738157646536 ;                    1
    1595738158584992 ;                    2
    1595738204184859 ;                    2
    1595738341816741 ;                    2
    1595738342675065 ;                    1
    1595738350903079 ;                    2
    1595738366451480 ;                    1
    1595738377202159 ;                    2
    1595738433238198 ;                    1
    1595738699478131 ;                    1
    1595738729553246 ;                    1
    1595738732337756 ;                    2
    1595738764359429 ;                    2
    1595738891256111 ;                    2
    1595738892741029 ;                    2
    1595739098209519 ;                    2
    1595739246172600 ;                    1
    1595739268825283 ;                    2
    1595739356029146 ;                    2
    1595739448976148 ;                    1
    1595739537618478 ;                    2
    1595739630103057 ;                    1
    1595739834075150 ;                    3
    1595740056512665 ;                    3
    1595740122689382 ;                    2
    1595740207726822 ;                    2
    1595740722007467 ;                    2
    1595740740921708 ;                    1
    1595741232992176 ;                    2
    1595741384228221 ;                    2
    1595741858953480 ;                    1
    1595741970290641 ;                    1
    1595742013777401 ;                    2
    1595742018764956 ;                    2
    1595742218538031 ;                    1
    1595742249422504 ;                    2
    1595742435576587 ;                    1
    1595742438495585 ;                    2
    1595742560435872 ;                    1
    1595742619954494 ;                    1
    1595742620545519 ;                    2
    1595742674901625 ;                    2
    1595742694575920 ;                    1
    1595742732653625 ;                    2
    1595742800362752 ;                    2
    1595742824455738 ;                    2
    1595742845334618 ;                    1
    1595742951367670 ;                    2
    1595742960781207 ;                    2
