# G(2) Function
# 2025-05-02 11:19:34
# Histogram Width = 16 ns
# Events Ch. 0 = 1.416e+08 
# Events Ch. 1 = 2.051e+08 
# Integr. Time = 00:19:36 h
# G(2) Norm = 395 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -1.2364364E-08 ;   1.0049670E+00
 -1.2348348E-08 ;   1.0960980E+00
 -1.2332332E-08 ;   1.0454700E+00
 -1.2316316E-08 ;   1.0328130E+00
 -1.2300300E-08 ;   9.4168200E-01
 -1.2284284E-08 ;   9.4927600E-01
 -1.2268268E-08 ;   1.0429380E+00
 -1.2252252E-08 ;   1.0581270E+00
 -1.2236236E-08 ;   9.5180800E-01
 -1.2220220E-08 ;   9.1889900E-01
 -1.2204204E-08 ;   1.1593830E+00
 -1.2188188E-08 ;   9.4674500E-01
 -1.2172172E-08 ;   9.8218500E-01
 -1.2156156E-08 ;   1.0378750E+00
 -1.2140140E-08 ;   9.8471600E-01
 -1.2124124E-08 ;   1.0555950E+00
 -1.2108108E-08 ;   8.9358500E-01
 -1.2092092E-08 ;   9.6699600E-01
 -1.2076076E-08 ;   9.8977900E-01
 -1.2060060E-08 ;   1.0176240E+00
 -1.2044044E-08 ;   9.1889900E-01
 -1.2028028E-08 ;   9.4927600E-01
 -1.2012012E-08 ;   1.1138180E+00
 -1.1995996E-08 ;   9.9231000E-01
 -1.1979980E-08 ;   9.6446500E-01
 -1.1963964E-08 ;   1.0581270E+00
 -1.1947948E-08 ;   9.8724700E-01
 -1.1931932E-08 ;   1.0480010E+00
 -1.1915916E-08 ;   9.7712200E-01
 -1.1899900E-08 ;   1.0201560E+00
 -1.1883884E-08 ;   9.9484200E-01
 -1.1867868E-08 ;   1.0353440E+00
 -1.1851852E-08 ;   1.0226870E+00
 -1.1835836E-08 ;   9.7965300E-01
 -1.1819820E-08 ;   9.8471600E-01
 -1.1803804E-08 ;   9.8977900E-01
 -1.1787788E-08 ;   9.8471600E-01
 -1.1771772E-08 ;   9.8977900E-01
 -1.1755756E-08 ;   9.6952800E-01
 -1.1739740E-08 ;   1.0657210E+00
