# G(2) Function
# 2025-05-07 15:52:56
# Histogram Width = 6 ns
# Events Ch. 0 = 2.797e+08 
# Events Ch. 1 = 2.935e+08 
# Integr. Time = 00:54:51 h
# G(2) Norm = 748.2 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
  5.6381910E-09 ;   9.8506400E-01
  5.6683417E-09 ;   1.0024400E+00
  5.6984925E-09 ;   1.0706060E+00
  5.7286432E-09 ;   1.0799620E+00
  5.7587940E-09 ;   9.1689800E-01
  5.7889447E-09 ;   9.4363000E-01
  5.8190955E-09 ;   9.7704400E-01
  5.8492462E-09 ;   1.0318450E+00
  5.8793970E-09 ;   9.6635200E-01
  5.9095477E-09 ;   1.0198150E+00
  5.9396985E-09 ;   1.0264980E+00
  5.9698492E-09 ;   9.5298600E-01
  6.0000000E-09 ;   9.5565900E-01
